Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_Link,-0.00015378,0.0059831,0.0018543,0,0,0,0.2498,0.00027052,-2.9032E-06,9.9718E-07,0.00056127,-1.828E-06,0.00029671,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Base_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Base_Link.STL,,Copy of base assem1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Thigh1_Link,-0.05457,0.014655,0.0029163,0,0,0,0.053996,1.2958E-05,6.6702E-06,-2.6124E-08,2.2919E-05,-2.8182E-08,2.4984E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Thigh1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Thigh1_Link.STL,,Copy of legAssem-1/Copy of upperLegAssem-1;Copy of legAssem-1/Copy of middleLeg-1,Origin_Thigh1_Joint,Axis_Thigh1_Joint,Thigh1_Joint,continuous,-0.039065,-0.053882,0,1.5708,0,0.098815,Base_Link,0,1,0,,,,,,,,,,,,
Shin1_Link,0.089293,0.00052424,0.12407,0,0,0,0.057893,5.1911E-06,-1.6884E-07,-2.1135E-06,9.8478E-05,-1.0817E-08,9.4822E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Shin1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Shin1_Link.STL,,Copy of legAssem-1/Copy of towerproAssemSingle-1;Copy of legAssem-1/Copy of endLegFoot-2,Origin_Shin1_Joint,Axis_Shin1_Joint,Shin1_Joint,continuous,0,0.078226,0,1.5708,0,-1.6593,Thigh1_Link,0.99609,0,-0.088356,,,,,,,,,,,,
Foot1_Link,-0.02178,0.14158,0.00015875,0,0,0,0.0091406,1.4339E-06,6.6635E-08,1.9162E-14,7.4197E-07,-1.2833E-13,1.335E-06,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Foot1_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Foot1_Link.STL,,Copy of legAssem-1/Copy of FootV2-1,Origin_Foot1_Joint,Axis_Foot1_Joint,Foot1_Joint,continuous,0.15134,0,-0.013424,1.5708,-0.088471,3.1416,Shin1_Link,1,0,0,,,,,,,,,,,,
Thigh2_Link,-0.042838,0.025441,0.0029163,0,0,0,0.053996,2.4039E-05,5.7377E-06,-2.6382E-08,1.1839E-05,-2.842E-08,2.4984E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Thigh2_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Thigh2_Link.STL,,Copy of legAssem-2/Copy of upperLegAssem-1;Copy of legAssem-2/Copy of middleLeg-1,Origin_Thigh2_Joint,Axis_Thigh2_Joint,Thigh2_Joint,continuous,0.039065,-0.053882,0,1.5708,0,2.2782,Base_Link,0,1,0,,,,,,,,,,,,
Shin2_Link,-0.029659,0.00052423,0.13554,0,0,0,0.057893,5.1898E-06,-1.6896E-07,-2.1127E-06,9.8478E-05,-1.0889E-08,9.4823E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Shin2_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Shin2_Link.STL,,Copy of legAssem-2/Copy of towerproAssemSingle-1;Copy of legAssem-2/Copy of endLegFoot-2,Origin_Shin2_Joint,Axis_Shin2_Joint,Shin2_Joint,continuous,0,-0.040937,0,1.5708,0,-2.095,Thigh2_Link,0.86575,0,-0.50048,,,,,,,,,,,,
Foot2_Link,0.0086849,0.14743,0.00015875,0,0,0,0.0091406,1.4339E-06,6.6635E-08,9.0873E-14,7.4197E-07,-1.1846E-13,1.335E-06,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Foot2_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Foot2_Link.STL,,Copy of legAssem-2/Copy of FootV2-1,Origin_Foot2_Joint,Axis_Foot2_Joint,Foot2_Joint,continuous,0,0,0,1.5708,-0.52416,3.1416,Shin2_Link,1,0,0,,,,,,,,,,,,
Thigh3_Link,-0.050482,0.020373,0.0029163,0,0,0,0.053996,1.7864E-05,8.3469E-06,-2.6214E-08,1.8014E-05,-2.8308E-08,2.4984E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Thigh3_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Thigh3_Link.STL,,Copy of legAssem-3/Copy of upperLegAssem-1;Copy of legAssem-3/Copy of middleLeg-1,Origin_Thigh3_Joint,Axis_Thigh3_Joint,Thigh3_Joint,continuous,0.039433,0.05348,0,1.5708,0,-2.7838,Base_Link,0,1,0,,,,,,,,,,,,
Shin3_Link,-0.017595,0.00052425,0.16111,0,0,0,0.057893,5.1914E-06,-1.6879E-07,-2.1139E-06,9.8478E-05,-1.08E-08,9.4822E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Shin3_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Shin3_Link.STL,,Copy of legAssem-3/Copy of towerproAssemSingle-1;Copy of legAssem-3/Copy of endLegFoot-2,Origin_Shin3_Joint,Axis_Shin3_Joint,Shin3_Joint,continuous,0,-0.061738,0,1.5708,0,-2.0801,Thigh3_Link,0.87309,0,-0.48756,,,,,,,,,,,,
Foot3_Link,0.0084624,0.17592,0.00015874,0,0,0,0.0091406,1.4339E-06,6.6635E-08,4.0749E-13,7.4197E-07,-1.3487E-13,1.335E-06,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Foot3_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Foot3_Link.STL,,Copy of legAssem-3/Copy of FootV2-1,Origin_Foot3_Joint,Axis_Foot3_Joint,Foot3_Joint,continuous,0,0,0,1.5708,-0.5093,3.1416,Shin3_Link,1,0,0,,,,,,,,,,,,
Thigh4_Link,-0.046262,0.023725,0.0029163,0,0,0,0.053996,2.1756E-05,7.443E-06,-2.6307E-08,1.4122E-05,-2.8382E-08,2.4984E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Thigh4_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Thigh4_Link.STL,,Copy of legAssem-4/Copy of upperLegAssem-1;Copy of legAssem-4/Copy of middleLeg-1,Origin_Thigh4_Joint,Axis_Thigh4_Joint,Thigh4_Joint,continuous,-0.039433,0.05348,0,1.5708,0,-0.47257,Base_Link,0,1,0,,,,,,,,,,,,
Shin4_Link,-0.069847,0.00052425,0.12515,0,0,0,0.057893,5.1892E-06,-1.69E-07,-2.1127E-06,9.8478E-05,-1.0926E-08,9.4824E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Shin4_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_6/meshes/Shin4_Link.STL,,Copy of legAssem-4/Copy of towerproAssemSingle-1;Copy of legAssem-4/Copy of endLegFoot-2,Origin_Shin4_Joint,Axis_Shin4_Joint,Shin4_Joint,continuous,0,-0.058914,0,1.5708,0,-1.8089,Thigh4_Link,0.9718,0,-0.23582,,,,,,,,,,,,
